bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,4120,0.29040671036864735,0.028335800380630154,0.2620709099880172,1.0,2.0,1.0
1,13068,3911,0.29928068564432203,0.03466483011937557,0.26461585552494643,3.0,6.0,4.0
2,11670,3705,0.31748071979434445,0.03444730077120823,0.2830334190231362,7.0,12.0,9.0
3,12133,3753,0.30932168466166654,0.04261106074342702,0.2667106239182395,13.0,23.0,17.0
4,12825,4425,0.34502923976608185,0.04148148148148148,0.3035477582846004,24.0,43.0,32.0
5,12177,4375,0.35928389586926174,0.05649995893898333,0.3027839369302784,44.0,74.0,59.0
6,12848,4296,0.3343711083437111,0.03829389788293898,0.2960772104607721,75.0,135.0,104.0
7,12591,4939,0.3922643157811135,0.057898498927805575,0.3343658168533079,136.0,277.0,180.0
8,13096,8264,0.6310323762981063,0.05482590103848503,0.5762064752596212,280.0,925.0,577.0
9,12063,8456,0.7009864876067313,0.03315924728508663,0.6678272403216446,981.0,2483.0,2031.0
