bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,4077,0.28737576654683866,0.030591386480580813,0.25678438006625787,1.0,2.0,1.0
1,13068,5465,0.4181971227425773,0.02999693908784818,0.38820018365472914,3.0,6.0,4.0
2,11670,5624,0.48191945158526134,0.026563838903170524,0.45535561268209085,7.0,12.0,9.0
3,12133,5577,0.45965548504079784,0.032143740212643206,0.4275117448281546,13.0,23.0,17.0
4,12825,6284,0.48998050682261207,0.032514619883040934,0.45746588693957113,24.0,43.0,32.0
5,12177,6255,0.5136733185513673,0.038186745503818675,0.47548657304754866,44.0,74.0,59.0
6,12848,7242,0.563667496886675,0.033079078455790785,0.5305884184308842,75.0,135.0,104.0
7,12591,7033,0.5585735843062505,0.03621634500833929,0.5223572392979112,136.0,277.0,180.0
8,13096,9308,0.7107513744654856,0.03207086133170434,0.6786805131337813,280.0,925.0,577.0
9,12063,8603,0.7131725109840007,0.03365663599436293,0.6795158749896377,981.0,2483.0,2031.0
