bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,4616,0.32536829491788255,0.029745541693099318,0.29562275322478326,1.0,2.0,1.0
1,13068,5926,0.4534741352923171,0.028236914600550965,0.42523722069176617,3.0,6.0,4.0
2,11670,5919,0.5071979434447301,0.024507283633247643,0.48269065981148246,7.0,12.0,9.0
3,12133,6065,0.49987637022995135,0.02967114481167065,0.47020522541828075,13.0,23.0,17.0
4,12825,6834,0.5328654970760234,0.030175438596491227,0.5026900584795322,24.0,43.0,32.0
5,12177,6713,0.5512852098217952,0.038515233637184856,0.5127699761846103,44.0,74.0,59.0
6,12848,7800,0.6070983810709838,0.029965753424657533,0.5771326276463262,75.0,135.0,104.0
7,12591,7246,0.5754904296719879,0.034389643396076565,0.5411007862759114,136.0,277.0,180.0
8,13096,9218,0.7038790470372633,0.03405620036652413,0.6698228466707391,280.0,925.0,577.0
9,12063,8589,0.7120119373290227,0.03042360938406698,0.6815883279449556,981.0,2483.0,2031.0
