bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,3624,0.25544512581941214,0.03221258898992035,0.2232325368294918,1.0,2.0,1.0
1,13068,4794,0.36685032139577595,0.033363942454851546,0.3334863789409244,3.0,6.0,4.0
2,11670,4856,0.4161096829477292,0.02982005141388175,0.3862896315338475,7.0,12.0,9.0
3,12133,5077,0.41844556169125524,0.036676831781092885,0.38176872991016236,13.0,23.0,17.0
4,12825,5705,0.44483430799220275,0.034619883040935676,0.41021442495126703,24.0,43.0,32.0
5,12177,5866,0.4817278475815061,0.04623470477129014,0.435493142810216,44.0,74.0,59.0
6,12848,6603,0.5139321295143213,0.03549190535491906,0.47844022415940224,75.0,135.0,104.0
7,12591,6529,0.5185449924549281,0.04114049718052577,0.4774044952744024,136.0,277.0,180.0
8,13096,8715,0.665470372632865,0.04260843005497862,0.6228619425778864,280.0,925.0,577.0
9,12063,8276,0.6860648263284423,0.03954240238746581,0.6465224239409766,981.0,2483.0,2031.0
