bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,10391,0.7324310988933531,0.010784521040389088,0.7216465778529639,1.0,2.0,1.0
1,13068,10330,0.7904805632078359,0.00864707682889501,0.7818334863789409,3.0,6.0,4.0
2,11670,9654,0.8272493573264782,0.008140531276778063,0.8191088260497,7.0,12.0,9.0
3,12133,10067,0.8297205967196901,0.006181488502431385,0.8235391082172587,13.0,23.0,17.0
4,12825,10735,0.837037037037037,0.006003898635477583,0.8310331384015595,24.0,43.0,32.0
5,12177,10133,0.832142563849881,0.005584298267225097,0.8265582655826558,44.0,74.0,59.0
6,12848,11087,0.8629358655043586,0.0022571606475716064,0.8606787048567871,75.0,135.0,104.0
7,12591,10297,0.8178063696291001,0.002462076086093241,0.8153442935430069,136.0,277.0,180.0
8,13096,10838,0.8275809407452658,0.005650580329871716,0.821930360415394,280.0,925.0,577.0
9,12063,9124,0.756362430572826,0.002155351073530631,0.7542070794992953,981.0,2483.0,2031.0
