bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,4214,0.2970324945372524,0.03037992528371044,0.26665256925354197,1.0,2.0,1.0
1,13068,6196,0.4741352923171105,0.029078665442301806,0.4450566268748087,3.0,6.0,4.0
2,11670,6388,0.5473864610111396,0.02416452442159383,0.5232219365895459,7.0,12.0,9.0
3,12133,6884,0.5673782246765021,0.02612709140360999,0.5412511332728921,13.0,23.0,17.0
4,12825,7270,0.5668615984405458,0.02354775828460039,0.5433138401559454,24.0,43.0,32.0
5,12177,6984,0.573540280857354,0.02775724726944239,0.5457830335879116,44.0,74.0,59.0
6,12848,6898,0.536892901618929,0.022026774595267747,0.5148661270236613,75.0,135.0,104.0
7,12591,6926,0.5500754507187674,0.020729092208720514,0.5293463585100469,136.0,277.0,180.0
8,13096,9312,0.7110568112400732,0.015653634697617592,0.6954031765424558,280.0,925.0,577.0
9,12063,7746,0.6421288236757026,0.03539749647682998,0.6067313271988726,981.0,2483.0,2031.0
