bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,3641,0.25664340593501095,0.031225770071191938,0.225417635863819,1.0,2.0,1.0
1,13068,5905,0.45186715641261094,0.029155188246097336,0.42271196816651363,3.0,6.0,4.0
2,11670,6208,0.5319622964867181,0.02382176520994002,0.508140531276778,7.0,12.0,9.0
3,12133,6796,0.5601252781669827,0.023819335696035605,0.536305942470947,13.0,23.0,17.0
4,12825,7518,0.5861988304093567,0.02253411306042885,0.5636647173489279,24.0,43.0,32.0
5,12177,7383,0.6063069721606307,0.02726451506939312,0.5790424570912376,44.0,74.0,59.0
6,12848,7093,0.5520703611457036,0.019069115815691158,0.5330012453300125,75.0,135.0,104.0
7,12591,7050,0.5599237550631403,0.01802875069494083,0.5418950043681995,136.0,277.0,180.0
8,13096,9143,0.6981521075137447,0.01740989615149664,0.680742211362248,280.0,925.0,577.0
9,12063,8734,0.7240321644698665,0.01740860482467048,0.7066235596451961,981.0,2483.0,2031.0
