bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,4173,0.2941425248466906,0.028758722774370905,0.2653838020723197,1.0,2.0,1.0
1,13068,5934,0.4540863177226814,0.028772574227119683,0.42531374349556167,3.0,6.0,4.0
2,11670,6444,0.552185089974293,0.022193658954584406,0.5299914310197087,7.0,12.0,9.0
3,12133,7004,0.5772686062803923,0.02472595400972554,0.5525426522706668,13.0,23.0,17.0
4,12825,8179,0.6377387914230019,0.020428849902534112,0.6173099415204678,24.0,43.0,32.0
5,12177,7936,0.6517204565985054,0.03087788453642112,0.6208425720620843,44.0,74.0,59.0
6,12848,9016,0.7017434620174346,0.018991282689912826,0.6827521793275217,75.0,135.0,104.0
7,12591,9106,0.7232149948375824,0.017552219839567944,0.7056627749980144,136.0,277.0,180.0
8,13096,9558,0.7298411728772144,0.01939523518631643,0.710445937690898,280.0,925.0,577.0
9,12063,8288,0.6870596037469949,0.02395755616347509,0.6631020475835199,981.0,2483.0,2031.0
