bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,5089,0.35870867695777825,0.027208007330654826,0.33150066962712343,1.0,2.0,1.0
1,13068,5665,0.4335016835016835,0.02953780226507499,0.40396388123660854,3.0,6.0,4.0
2,11670,5754,0.4930591259640103,0.02622107969151671,0.4668380462724936,7.0,12.0,9.0
3,12133,6193,0.5104261106074343,0.033544877606527655,0.4768812330009066,13.0,23.0,17.0
4,12825,6660,0.519298245614035,0.03345029239766082,0.48584795321637425,24.0,43.0,32.0
5,12177,6561,0.5388026607538803,0.04836987763817032,0.4904327831157099,44.0,74.0,59.0
6,12848,6997,0.5445983810709838,0.03097758405977584,0.513620797011208,75.0,135.0,104.0
7,12591,7887,0.6263998093876578,0.03494559606067826,0.5914542133269796,136.0,277.0,180.0
8,13096,8792,0.6713500305436775,0.040852168601099574,0.6304978619425778,280.0,925.0,577.0
9,12063,7613,0.6311033739534112,0.034236922821851944,0.5968664511315593,981.0,2483.0,2031.0
