bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,2155,0.1518996264185522,0.03601889053358709,0.11588073588496511,1.0,2.0,1.0
1,13068,3390,0.2594123048668503,0.038261401897765536,0.2211509029690848,3.0,6.0,4.0
2,11670,3886,0.33299057412167954,0.0339331619537275,0.299057412167952,7.0,12.0,9.0
3,12133,4681,0.38580730239841754,0.03816038902167642,0.34764691337674114,13.0,23.0,17.0
4,12825,5465,0.42612085769980507,0.03820662768031189,0.38791423001949316,24.0,43.0,32.0
5,12177,5535,0.45454545454545453,0.051490514905149054,0.4030549396403055,44.0,74.0,59.0
6,12848,5382,0.41889788293897884,0.03401307596513076,0.3848848069738481,75.0,135.0,104.0
7,12591,5834,0.46334683504090224,0.03542212691605115,0.42792470812485106,136.0,277.0,180.0
8,13096,8488,0.6481368356750152,0.03665241295051924,0.611484422724496,280.0,925.0,577.0
9,12063,7522,0.623559645196054,0.03208157174832131,0.5914780734477327,981.0,2483.0,2031.0
