bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,5202,0.366673715373229,0.026362162543173327,0.3403115528300557,1.0,2.0,1.0
1,13068,5625,0.43044077134986225,0.030303030303030304,0.400137741046832,3.0,6.0,4.0
2,11670,5644,0.48363324764353044,0.026135389888603255,0.4574978577549272,7.0,12.0,9.0
3,12133,6111,0.5036676831781093,0.030330503585263333,0.47333717959284594,13.0,23.0,17.0
4,12825,6507,0.5073684210526316,0.02962962962962963,0.47773879142300196,24.0,43.0,32.0
5,12177,6457,0.5302619692863595,0.04097889463743122,0.4892830746489283,44.0,74.0,59.0
6,12848,6518,0.5073163138231631,0.02280510585305106,0.4845112079701121,75.0,135.0,104.0
7,12591,6639,0.5272813914700977,0.03129219283615281,0.49598919863394486,136.0,277.0,180.0
8,13096,9388,0.7168601099572388,0.02145693341478314,0.6954031765424558,280.0,925.0,577.0
9,12063,8042,0.6666666666666666,0.028102462074110917,0.6385642045925557,981.0,2483.0,2031.0
