bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,1263,0.08902516388242758,0.020652710227673222,0.06837245365475435,1.0,2.0,1.0
1,13068,1302,0.09963269054178145,0.02578818487909397,0.07384450566268748,3.0,6.0,4.0
2,11670,1286,0.11019708654670095,0.02390745501285347,0.08628963153384747,7.0,12.0,9.0
3,12133,1459,0.12025055633396523,0.02818758757108712,0.0920629687628781,13.0,23.0,17.0
4,12825,1751,0.13653021442495128,0.029473684210526315,0.10705653021442495,24.0,43.0,32.0
5,12177,1950,0.1601379650160138,0.03473762010347376,0.12540034491254004,44.0,74.0,59.0
6,12848,1713,0.13332814445828145,0.026541095890410957,0.10678704856787048,75.0,135.0,104.0
7,12591,2132,0.16932729727583196,0.03462790882376301,0.13469938845206894,136.0,277.0,180.0
8,13096,3268,0.2495418448381185,0.031918142944410505,0.217623701893708,280.0,925.0,577.0
9,12063,3208,0.26593716322639477,0.044018900770952496,0.22191826245544227,981.0,2483.0,2031.0
