bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,1635,0.11524635229435398,0.01670543455275957,0.09854091774159442,1.0,2.0,1.0
1,13068,1804,0.13804713804713806,0.021885521885521887,0.11616161616161616,3.0,6.0,4.0
2,11670,1677,0.14370179948586118,0.01970865467009426,0.12399314481576693,7.0,12.0,9.0
3,12133,1985,0.163603395697684,0.02200609906865573,0.14159729662902826,13.0,23.0,17.0
4,12825,2340,0.1824561403508772,0.020662768031189084,0.1617933723196881,24.0,43.0,32.0
5,12177,2623,0.21540609345487394,0.02537570830253757,0.19003038515233636,44.0,74.0,59.0
6,12848,2296,0.17870485678704856,0.02054794520547945,0.1581569115815691,75.0,135.0,104.0
7,12591,3012,0.23921848939718846,0.020173139544118816,0.21904534985306964,136.0,277.0,180.0
8,13096,4218,0.3220830788026878,0.021915088576664632,0.3001679902260232,280.0,925.0,577.0
9,12063,4138,0.3430324131642212,0.01525325375113985,0.32777915941308133,981.0,2483.0,2031.0
