bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,1046,0.07372947064213717,0.032071614858673436,0.04165785578346373,1.0,2.0,1.0
1,13068,1269,0.09710743801652892,0.03948576675849403,0.05762167125803489,3.0,6.0,4.0
2,11670,1235,0.10582690659811482,0.03933161953727506,0.06649528706083976,7.0,12.0,9.0
3,12133,1545,0.12733866315008655,0.04615511415148768,0.08118354899859886,13.0,23.0,17.0
4,12825,1934,0.1507992202729045,0.041949317738791424,0.10884990253411306,24.0,43.0,32.0
5,12177,2245,0.18436396485176973,0.052558101338589146,0.13180586351318058,44.0,74.0,59.0
6,12848,2015,0.15683374844333747,0.04202988792029888,0.1148038605230386,75.0,135.0,104.0
7,12591,2992,0.23763005321261219,0.050274005241839406,0.18735604797077277,136.0,277.0,180.0
8,13096,5567,0.4250916310323763,0.048946243127672574,0.37614538790470375,280.0,925.0,577.0
9,12063,5563,0.46116223161734227,0.04584265937163226,0.41531957224571003,981.0,2483.0,2031.0
