bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,2005,0.14132656657503348,0.014238387255938536,0.12708817931909494,1.0,2.0,1.0
1,13068,1994,0.15258647076828896,0.018977655341291706,0.13360881542699724,3.0,6.0,4.0
2,11670,1845,0.15809768637532134,0.017480719794344474,0.14061696658097686,7.0,12.0,9.0
3,12133,2086,0.1719278002142916,0.02118190060166488,0.15074589961262672,13.0,23.0,17.0
4,12825,2355,0.18362573099415205,0.023157894736842106,0.16046783625730995,24.0,43.0,32.0
5,12177,2575,0.21146423585447977,0.02463661000246366,0.1868276258520161,44.0,74.0,59.0
6,12848,2231,0.17364570361145704,0.018212951432129514,0.15543275217932753,75.0,135.0,104.0
7,12591,2930,0.2327059010404257,0.031212771026923995,0.20149313001350172,136.0,277.0,180.0
8,13096,4306,0.3288026878436164,0.016188149053146,0.31261453879047035,280.0,925.0,577.0
9,12063,4389,0.36383984083561305,0.030838099975130564,0.33300174086048245,981.0,2483.0,2031.0
