bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,670,0.04722633396771692,0.03101430887432156,0.016212025093395362,1.0,2.0,1.0
1,13068,763,0.058386899295990204,0.038950107131925316,0.01943679216406489,3.0,6.0,4.0
2,11670,716,0.061353898886032564,0.03933161953727506,0.022022279348757497,7.0,12.0,9.0
3,12133,843,0.06947993076732878,0.04755625154537212,0.021923679221956646,13.0,23.0,17.0
4,12825,981,0.07649122807017544,0.047563352826510724,0.02892787524366472,24.0,43.0,32.0
5,12177,1224,0.10051736881005174,0.06306972160630697,0.037447647203744765,44.0,74.0,59.0
6,12848,1032,0.08032378580323786,0.046310709838107096,0.03401307596513076,75.0,135.0,104.0
7,12591,1381,0.10968151854499246,0.061869589389246284,0.04781192915574617,136.0,277.0,180.0
8,13096,2445,0.1866982284667074,0.06910507025045816,0.11759315821624923,280.0,925.0,577.0
9,12063,2581,0.21396004310702146,0.08870098648760673,0.12525905661941475,981.0,2483.0,2031.0
