bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,1605,0.11313174032565024,0.01741030520899415,0.0957214351166561,1.0,2.0,1.0
1,13068,1716,0.13131313131313133,0.021885521885521887,0.10942760942760943,3.0,6.0,4.0
2,11670,1520,0.13024850042844902,0.01996572407883462,0.11028277634961439,7.0,12.0,9.0
3,12133,1816,0.1496744416055386,0.02390175554273469,0.12577268606280392,13.0,23.0,17.0
4,12825,2110,0.1645224171539961,0.024873294346978558,0.13964912280701755,24.0,43.0,32.0
5,12177,2352,0.19315102241931512,0.028085735402808575,0.16506528701650652,44.0,74.0,59.0
6,12848,1851,0.14406911581569115,0.02171544209215442,0.12235367372353674,75.0,135.0,104.0
7,12591,2298,0.1825113176078151,0.023350011913271386,0.15916130569454373,136.0,277.0,180.0
8,13096,3404,0.25992669517409894,0.02504581551618815,0.23488087965791082,280.0,925.0,577.0
9,12063,3385,0.2806101301500456,0.033242145403299346,0.24736798474674626,981.0,2483.0,2031.0
