bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,11198,0.7893141608514838,0.007119193627969268,0.7821949672235144,1.0,2.0,1.0
1,13068,9960,0.7621671258034894,0.010560146923783287,0.7516069788797062,3.0,6.0,4.0
2,11670,9004,0.7715509854327335,0.007712082262210797,0.7638389031705227,7.0,12.0,9.0
3,12133,9428,0.7770543146789747,0.009395862523695706,0.767658452155279,13.0,23.0,17.0
4,12825,9757,0.7607797270955166,0.009746588693957114,0.7510331384015595,24.0,43.0,32.0
5,12177,9418,0.7734253100106758,0.012728915167939558,0.7606963948427363,44.0,74.0,59.0
6,12848,9035,0.7032222914072229,0.007549813200498132,0.6956724782067247,75.0,135.0,104.0
7,12591,9354,0.7429116035263283,0.01445476927964419,0.7284568342466842,136.0,277.0,180.0
8,13096,10750,0.8208613317043372,0.0041997556505803295,0.8166615760537569,280.0,925.0,577.0
9,12063,9013,0.7471607394512144,0.008041117466633508,0.7391196219845809,981.0,2483.0,2031.0
