bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,2296,0.1618383026714598,0.014308874321561993,0.1475294283498978,1.0,2.0,1.0
1,13068,2570,0.19666360575451486,0.017523722069176614,0.17913988368533823,3.0,6.0,4.0
2,11670,2351,0.2014567266495287,0.01842330762639246,0.18303341902313625,7.0,12.0,9.0
3,12133,2680,0.22088518915354818,0.018379625813895985,0.2025055633396522,13.0,23.0,17.0
4,12825,3125,0.24366471734892786,0.017387914230019494,0.22627680311890838,24.0,43.0,32.0
5,12177,3324,0.27297363882729736,0.01954504393528784,0.25342859489200953,44.0,74.0,59.0
6,12848,3830,0.29810087173100874,0.014399128268991283,0.28370174346201743,75.0,135.0,104.0
7,12591,3728,0.29608450480501947,0.016043205464220476,0.28004129934079897,136.0,277.0,180.0
8,13096,4494,0.3431582162492364,0.013668295662797801,0.3294899205864386,280.0,925.0,577.0
9,12063,4596,0.38099975130564534,0.004973887092762994,0.37602586421288237,981.0,2483.0,2031.0
