bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,1356,0.09558046098540918,0.016141538027771903,0.07943892295763727,1.0,2.0,1.0
1,13068,1411,0.10797367615549434,0.02089072543617998,0.08708295071931435,3.0,6.0,4.0
2,11670,1346,0.11533847472150814,0.02082262210796915,0.094515852613539,7.0,12.0,9.0
3,12133,1573,0.12964641885766093,0.021099480754965795,0.10854693810269513,13.0,23.0,17.0
4,12825,1794,0.13988304093567253,0.020428849902534112,0.1194541910331384,24.0,43.0,32.0
5,12177,2255,0.18518518518518517,0.022747803235608113,0.16243738194957708,44.0,74.0,59.0
6,12848,1905,0.14827210460772106,0.01603362391033624,0.1322384806973848,75.0,135.0,104.0
7,12591,2597,0.20625843856723056,0.019934874116432372,0.1863235644507982,136.0,277.0,180.0
8,13096,3619,0.27634392180818573,0.017638973732437384,0.25870494807574834,280.0,925.0,577.0
9,12063,3482,0.2886512476166791,0.01160573654978032,0.2770455110668988,981.0,2483.0,2031.0
