bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,1697,0.11961655036300839,0.017692253471487982,0.10192429689152041,1.0,2.0,1.0
1,13068,2020,0.15457606366697277,0.022421181512090604,0.13215488215488216,3.0,6.0,4.0
2,11670,1990,0.17052270779777207,0.021936589545844043,0.14858611825192802,7.0,12.0,9.0
3,12133,2233,0.1840435176790571,0.02167641968185939,0.16236709799719773,13.0,23.0,17.0
4,12825,2646,0.2063157894736842,0.01925925925925926,0.18705653021442495,24.0,43.0,32.0
5,12177,2966,0.24357395089102407,0.022255071035558842,0.22131887985546522,44.0,74.0,59.0
6,12848,2663,0.20726961394769614,0.016500622665006227,0.19076899128268993,75.0,135.0,104.0
7,12591,3294,0.26161543959971406,0.016996267174966245,0.24461917242474784,136.0,277.0,180.0
8,13096,4730,0.3611789859499084,0.0177153329260843,0.3434636530238241,280.0,925.0,577.0
9,12063,4628,0.3836524910884523,0.007958219348420791,0.3756942717400315,981.0,2483.0,2031.0
