bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,1856,0.13082399379713822,0.015295693240290406,0.11552830055684782,1.0,2.0,1.0
1,13068,2107,0.16123354759718397,0.01729415365779002,0.14393939393939395,3.0,6.0,4.0
2,11670,1952,0.16726649528706083,0.01790916880891174,0.1493573264781491,7.0,12.0,9.0
3,12133,2371,0.19541745652353087,0.017390587653506963,0.1780268688700239,13.0,23.0,17.0
4,12825,2657,0.20717348927875243,0.016608187134502923,0.19056530214424952,24.0,43.0,32.0
5,12177,2887,0.23708631025704197,0.01798472530179847,0.21910158495524348,44.0,74.0,59.0
6,12848,2689,0.20929327521793276,0.014087795765877958,0.1952054794520548,75.0,135.0,104.0
7,12591,2645,0.21007068541021365,0.017790485267254387,0.19228020014295927,136.0,277.0,180.0
8,13096,3675,0.280620036652413,0.016264508246792913,0.26435552840562004,280.0,925.0,577.0
9,12063,3524,0.2921329685816132,0.010113570421951422,0.28201939815966176,981.0,2483.0,2031.0
