bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,5187,0.36561640938887713,0.019383943046450976,0.34623246634242616,1.0,2.0,1.0
1,13068,4310,0.3298132843587389,0.024640342822161005,0.3051729415365779,3.0,6.0,4.0
2,11670,3943,0.33787489288774636,0.022193658954584406,0.31568123393316194,7.0,12.0,9.0
3,12133,4255,0.3506964477046073,0.02612709140360999,0.32456935630099726,13.0,23.0,17.0
4,12825,5110,0.3984405458089669,0.02253411306042885,0.375906432748538,24.0,43.0,32.0
5,12177,4851,0.3983739837398374,0.036708548903670854,0.36166543483616653,44.0,74.0,59.0
6,12848,5418,0.4216998754669988,0.02342777085927771,0.39827210460772106,75.0,135.0,104.0
7,12591,5959,0.473274561194504,0.023111746485584943,0.45016281470891906,136.0,277.0,180.0
8,13096,8473,0.6469914477703116,0.025122174709835063,0.6218692730604765,280.0,925.0,577.0
9,12063,7320,0.6068142253170853,0.013678189505098234,0.593136035811987,981.0,2483.0,2031.0
