bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,1141,0.08042574187636568,0.019877352505815182,0.0605483893705505,1.0,2.0,1.0
1,13068,1201,0.09190388735843281,0.02594123048668503,0.06596265687174778,3.0,6.0,4.0
2,11670,1139,0.09760068551842331,0.021765209940017138,0.07583547557840617,7.0,12.0,9.0
3,12133,1390,0.11456358691172834,0.024890793703123713,0.08967279320860463,13.0,23.0,17.0
4,12825,1657,0.1292007797270955,0.024249512670565302,0.10495126705653021,24.0,43.0,32.0
5,12177,1920,0.15767430401576743,0.028414223536174756,0.12926008047959267,44.0,74.0,59.0
6,12848,1680,0.1307596513075965,0.021248443337484435,0.10951120797011207,75.0,135.0,104.0
7,12591,2320,0.18425859741084902,0.034230799777618934,0.1500277976332301,136.0,277.0,180.0
8,13096,3469,0.26489004276114847,0.02313683567501527,0.24175320708613318,280.0,925.0,577.0
9,12063,3433,0.284589239824256,0.014424272569012683,0.2701649672552433,981.0,2483.0,2031.0
