bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,1442,0.10164234862902657,0.02114611968703743,0.08049622894198914,1.0,2.0,1.0
1,13068,1456,0.11141720232629324,0.02578818487909397,0.08562901744719927,3.0,6.0,4.0
2,11670,1381,0.118337617823479,0.02356469580119966,0.09477292202227935,7.0,12.0,9.0
3,12133,1636,0.13483886919970328,0.024973213549822796,0.10986565564988049,13.0,23.0,17.0
4,12825,1914,0.14923976608187134,0.02331384015594542,0.1259259259259259,24.0,43.0,32.0
5,12177,2220,0.1823109140182311,0.029153321836248667,0.15315759218198244,44.0,74.0,59.0
6,12848,1868,0.1453922789539228,0.025217932752179328,0.12017434620174346,75.0,135.0,104.0
7,12591,2586,0.2053847986657136,0.030895083790008736,0.17448971487570486,136.0,277.0,180.0
8,13096,3559,0.2717623701893708,0.027565668906536347,0.24419670128283447,280.0,925.0,577.0
9,12063,3665,0.3038216032496062,0.015833540578628864,0.2879880626709774,981.0,2483.0,2031.0
