bin,n,n_errors,error_rate,fp_rate,fn_rate,time_min,time_max
0,11712,4814,0.4110314207650273,0.043459699453551916,0.3675717213114754,2016-12-09 12:49:59,2016-12-23 18:02:45
1,11350,4628,0.40775330396475773,0.04422907488986784,0.36352422907488985,2016-12-23 18:04:49,2017-01-06 22:58:19
2,12029,4888,0.4063513176490149,0.04331199600964336,0.3630393216393715,2017-01-06 23:18:19,2017-01-21 04:22:10
3,12753,5121,0.4015525758645025,0.04053948090645338,0.36101309495804906,2017-01-21 04:29:00,2017-02-04 09:39:50
4,12835,4920,0.38332684067004286,0.041760810284378655,0.3415660303856642,2017-02-04 09:42:39,2017-02-18 14:52:35
5,13131,5042,0.38397684867869925,0.041200213235854086,0.3427766354428452,2017-02-18 14:55:51,2017-03-04 20:05:26
6,12869,4812,0.3739218276478359,0.03364674799906753,0.34027507964876835,2017-03-04 20:11:23,2017-03-19 01:16:28
7,13128,5334,0.4063071297989031,0.042885435709932966,0.3634216940889701,2017-03-19 01:20:31,2017-04-02 06:31:52
8,13151,5380,0.4090943654474945,0.044255189719412974,0.3648391757280815,2017-04-02 06:35:23,2017-04-16 11:44:45
9,13700,5305,0.3872262773722628,0.045912408759124085,0.34131386861313867,2017-04-16 11:45:52,2017-04-30 16:58:21
