bin,n,n_errors,error_rate,fp_rate,fn_rate,time_min,time_max
0,11712,6161,0.5260416666666666,0.03218920765027322,0.49385245901639346,2016-12-09 12:49:59,2016-12-23 18:02:45
1,11350,5780,0.5092511013215859,0.0318942731277533,0.47735682819383257,2016-12-23 18:04:49,2017-01-06 22:58:19
2,12029,6286,0.5225704547343919,0.03225538282483997,0.4903150719095519,2017-01-06 23:18:19,2017-01-21 04:22:10
3,12753,6713,0.526385948404297,0.03207088528189446,0.4943150631224026,2017-01-21 04:29:00,2017-02-04 09:39:50
4,12835,6709,0.5227113361901052,0.029450720685625244,0.4932606155044799,2017-02-04 09:42:39,2017-02-18 14:52:35
5,13131,7035,0.5357550833904501,0.030919198842433934,0.5048358845480162,2017-02-18 14:55:51,2017-03-04 20:05:26
6,12869,7029,0.5461962856476805,0.025565311990053616,0.5206309736576269,2017-03-04 20:11:23,2017-03-19 01:16:28
7,13128,6572,0.5006093845216332,0.034887263863497865,0.4657221206581353,2017-03-19 01:20:31,2017-04-02 06:31:52
8,13151,6526,0.49623602767850356,0.038248041973994375,0.45798798570450916,2017-04-02 06:35:23,2017-04-16 11:44:45
9,13700,6657,0.4859124087591241,0.03686131386861314,0.4490510948905109,2017-04-16 11:45:52,2017-04-30 16:58:21
