bin,n,n_errors,error_rate,fp_rate,fn_rate,time_min,time_max
0,11712,5895,0.5033299180327869,0.03483606557377049,0.46849385245901637,2016-12-09 12:49:59,2016-12-23 18:02:45
1,11350,5514,0.48581497797356826,0.03480176211453744,0.4510132158590308,2016-12-23 18:04:49,2017-01-06 22:58:19
2,12029,5901,0.4905644691994347,0.03558068002327708,0.4549837891761576,2017-01-06 23:18:19,2017-01-21 04:22:10
3,12753,6398,0.5016858778326668,0.03536422802477848,0.4663216498078883,2017-01-21 04:29:00,2017-02-04 09:39:50
4,12835,6399,0.49855862874951307,0.0333463186599143,0.46521231008959874,2017-02-04 09:42:39,2017-02-18 14:52:35
5,13131,6700,0.5102429365623334,0.03427004797806717,0.47597288858426623,2017-02-18 14:55:51,2017-03-04 20:05:26
6,12869,6711,0.521485740927811,0.029606029994560572,0.49187971093325045,2017-03-04 20:11:23,2017-03-19 01:16:28
7,13128,6277,0.47813833028641073,0.03656307129798903,0.4415752589884217,2017-03-19 01:20:31,2017-04-02 06:31:52
8,13151,6251,0.4753250703368565,0.04227815375256634,0.4330469165842902,2017-04-02 06:35:23,2017-04-16 11:44:45
9,13700,6274,0.457956204379562,0.04094890510948905,0.417007299270073,2017-04-16 11:45:52,2017-04-30 16:58:21
