bin,n,n_errors,error_rate,fp_rate,fn_rate,time_min,time_max
0,11712,4157,0.35493510928961747,0.05225409836065574,0.30268101092896177,2016-12-09 12:49:59,2016-12-23 18:02:45
1,11350,4036,0.3555947136563877,0.05180616740088106,0.3037885462555066,2016-12-23 18:04:49,2017-01-06 22:58:19
2,12029,4274,0.35530800565300524,0.05428547676448583,0.30102252888851944,2017-01-06 23:18:19,2017-01-21 04:22:10
3,12753,4484,0.35160354426409474,0.04940014114326041,0.3022034031208343,2017-01-21 04:29:00,2017-02-04 09:39:50
4,12835,4279,0.33338527463965717,0.04846123880015583,0.2849240358395014,2017-02-04 09:42:39,2017-02-18 14:52:35
5,13131,4429,0.3372934277663544,0.04919655776406976,0.2880968700022847,2017-02-18 14:55:51,2017-03-04 20:05:26
6,12869,4269,0.3317274069469267,0.04522495920428938,0.28650244774263733,2017-03-04 20:11:23,2017-03-19 01:16:28
7,13128,4532,0.3452163315051798,0.05332114564290067,0.2918951858622791,2017-03-19 01:20:31,2017-04-02 06:31:52
8,13151,4470,0.3398981066078625,0.0587027602463691,0.2811953463614934,2017-04-02 06:35:23,2017-04-16 11:44:45
9,13700,4399,0.3210948905109489,0.05489051094890511,0.2662043795620438,2017-04-16 11:45:52,2017-04-30 16:58:21
