bin,n,n_errors,error_rate,fp_rate,fn_rate,time_min,time_max
0,11712,9514,0.8123292349726776,0.004439890710382513,0.8078893442622951,2016-12-09 12:49:59,2016-12-23 18:02:45
1,11350,9160,0.8070484581497798,0.005814977973568282,0.8012334801762114,2016-12-23 18:04:49,2017-01-06 22:58:19
2,12029,9797,0.8144484163272092,0.0038240917782026767,0.8106243245490066,2017-01-06 23:18:19,2017-01-21 04:22:10
3,12753,10380,0.8139261350270525,0.005959382106171097,0.8079667529208814,2017-01-21 04:29:00,2017-02-04 09:39:50
4,12835,10445,0.8137904168289832,0.005921308920919361,0.8078691079080639,2017-02-04 09:42:39,2017-02-18 14:52:35
5,13131,10772,0.8203487929327545,0.0054832076764907475,0.8148655852562638,2017-02-18 14:55:51,2017-03-04 20:05:26
6,12869,10592,0.8230631750718782,0.004662366928277256,0.8184008081436009,2017-03-04 20:11:23,2017-03-19 01:16:28
7,13128,10497,0.7995886654478976,0.007236441194393662,0.7923522242535039,2017-03-19 01:20:31,2017-04-02 06:31:52
8,13151,10465,0.7957569766557676,0.007375864953235495,0.7883811117025321,2017-04-02 06:35:23,2017-04-16 11:44:45
9,13700,11034,0.8054014598540146,0.007372262773722628,0.798029197080292,2017-04-16 11:45:52,2017-04-30 16:58:21
