bin,n,n_errors,error_rate,fp_rate,fn_rate,time_min,time_max
0,11712,4644,0.39651639344262296,0.037739071038251366,0.3587773224043716,2016-12-09 12:49:59,2016-12-23 18:02:45
1,11350,4284,0.37744493392070483,0.03594713656387665,0.34149779735682817,2016-12-23 18:04:49,2017-01-06 22:58:19
2,12029,4659,0.38731399118796245,0.03849031507190955,0.34882367611605286,2017-01-06 23:18:19,2017-01-21 04:22:10
3,12753,4827,0.37849917666431426,0.03771661569826707,0.3407825609660472,2017-01-21 04:29:00,2017-02-04 09:39:50
4,12835,4609,0.35909622126996493,0.03809894818854694,0.320997273081418,2017-02-04 09:42:39,2017-02-18 14:52:35
5,13131,4521,0.34429974868631485,0.03510776026197548,0.30919198842433937,2017-02-18 14:55:51,2017-03-04 20:05:26
6,12869,4768,0.37050275856709924,0.03395757246095268,0.33654518610614653,2017-03-04 20:11:23,2017-03-19 01:16:28
7,13128,4824,0.36745886654478976,0.04075258988421694,0.32670627666057284,2017-03-19 01:20:31,2017-04-02 06:31:52
8,13151,4660,0.3543456771348186,0.042962512356474795,0.3113831647783439,2017-04-02 06:35:23,2017-04-16 11:44:45
9,13700,4688,0.3421897810218978,0.044963503649635035,0.29722627737226276,2017-04-16 11:45:52,2017-04-30 16:58:21
