bin,n,n_errors,error_rate,fp_rate,fn_rate,time_min,time_max
0,11712,6841,0.5841017759562842,0.019040300546448088,0.5650614754098361,2016-12-09 12:49:59,2016-12-23 18:02:45
1,11350,6432,0.5666960352422907,0.017885462555066078,0.5488105726872247,2016-12-23 18:04:49,2017-01-06 22:58:19
2,12029,6968,0.5792667719677446,0.020367445340427302,0.5588993266273173,2017-01-06 23:18:19,2017-01-21 04:22:10
3,12753,7214,0.5656708225515565,0.02336705088998667,0.5423037716615698,2017-01-21 04:29:00,2017-02-04 09:39:50
4,12835,6957,0.5420335021425788,0.023918971562134787,0.5181145305804441,2017-02-04 09:42:39,2017-02-18 14:52:35
5,13131,6901,0.5255502246592034,0.021552052395095576,0.5039981722641078,2017-02-18 14:55:51,2017-03-04 20:05:26
6,12869,6966,0.5413008003729893,0.019426528867821896,0.5218742715051674,2017-03-04 20:11:23,2017-03-19 01:16:28
7,13128,7204,0.5487507617306521,0.02437538086532602,0.524375380865326,2017-03-19 01:20:31,2017-04-02 06:31:52
8,13151,6986,0.5312143563227131,0.02935138012318455,0.5018629761995286,2017-04-02 06:35:23,2017-04-16 11:44:45
9,13700,7002,0.5110948905109489,0.029708029197080293,0.4813868613138686,2017-04-16 11:45:52,2017-04-30 16:58:21
