bin,n,n_errors,error_rate,fp_rate,fn_rate,time_min,time_max
0,11712,6992,0.5969945355191257,0.031420765027322405,0.5655737704918032,2016-12-09 12:49:59,2016-12-23 18:02:45
1,11350,6654,0.5862555066079295,0.03259911894273128,0.5536563876651982,2016-12-23 18:04:49,2017-01-06 22:58:19
2,12029,6998,0.5817607448665725,0.029927674785933993,0.5518330700806384,2017-01-06 23:18:19,2017-01-21 04:22:10
3,12753,7458,0.5848035756292637,0.030345800988002825,0.5544577746412609,2017-01-21 04:29:00,2017-02-04 09:39:50
4,12835,7511,0.5851967276977016,0.03194390338917024,0.5532528243085314,2017-02-04 09:42:39,2017-02-18 14:52:35
5,13131,7747,0.5899779148579697,0.03145228847764831,0.5585256263803213,2017-02-18 14:55:51,2017-03-04 20:05:26
6,12869,7449,0.5788328541456212,0.025953842567410054,0.5528790115782112,2017-03-04 20:11:23,2017-03-19 01:16:28
7,13128,7253,0.5524832419256551,0.03305911029859841,0.5194241316270567,2017-03-19 01:20:31,2017-04-02 06:31:52
8,13151,7177,0.545737966694548,0.035890806782754164,0.5098471599117937,2017-04-02 06:35:23,2017-04-16 11:44:45
9,13700,7438,0.5429197080291971,0.03708029197080292,0.5058394160583941,2017-04-16 11:45:52,2017-04-30 16:58:21
