bin,n,n_errors,error_rate,fp_rate,fn_rate,time_min,time_max
0,11712,6171,0.5268954918032787,0.03483606557377049,0.4920594262295082,2016-12-09 12:49:59,2016-12-23 18:02:45
1,11350,5968,0.5258149779735682,0.03427312775330396,0.4915418502202643,2016-12-23 18:04:49,2017-01-06 22:58:19
2,12029,6429,0.5344583922188045,0.03449995843378502,0.49995843378501953,2017-01-06 23:18:19,2017-01-21 04:22:10
3,12753,6837,0.5361091507880499,0.03379596957578609,0.5023131812122638,2017-01-21 04:29:00,2017-02-04 09:39:50
4,12835,6925,0.5395403194390339,0.032567199065056486,0.5069731203739775,2017-02-04 09:42:39,2017-02-18 14:52:35
5,13131,7037,0.5359073947147971,0.032975401721117965,0.5029319929936791,2017-02-18 14:55:51,2017-03-04 20:05:26
6,12869,6882,0.5347734866734012,0.028440438262491256,0.50633304841091,2017-03-04 20:11:23,2017-03-19 01:16:28
7,13128,6929,0.5278031687995125,0.03458257160268129,0.4932205971968312,2017-03-19 01:20:31,2017-04-02 06:31:52
8,13151,6844,0.5204166983499353,0.036347045852026465,0.4840696524979089,2017-04-02 06:35:23,2017-04-16 11:44:45
9,13700,7189,0.5247445255474452,0.03627737226277372,0.48846715328467155,2017-04-16 11:45:52,2017-04-30 16:58:21
