bin,n,n_errors,error_rate,fp_rate,fn_rate,time_min,time_max
0,11712,3188,0.27219945355191255,0.037824453551912565,0.234375,2016-12-09 12:49:59,2016-12-23 18:02:45
1,11350,3051,0.2688105726872247,0.039207048458149776,0.2296035242290749,2016-12-23 18:04:49,2017-01-06 22:58:19
2,12029,3233,0.26876714606367946,0.036993931332612855,0.2317732147310666,2017-01-06 23:18:19,2017-01-21 04:22:10
3,12753,3371,0.264329961577668,0.0362267701717243,0.2281031914059437,2017-01-21 04:29:00,2017-02-04 09:39:50
4,12835,3300,0.2571094663030775,0.03654070899883132,0.2205687573042462,2017-02-04 09:42:39,2017-02-18 14:52:35
5,13131,3251,0.24758205772599193,0.03480313761328155,0.21277892011271038,2017-02-18 14:55:51,2017-03-04 20:05:26
6,12869,3240,0.2517678141269718,0.03271427461341207,0.21905353951355971,2017-03-04 20:11:23,2017-03-19 01:16:28
7,13128,3336,0.25411334552102377,0.032678244972577694,0.22143510054844606,2017-03-19 01:20:31,2017-04-02 06:31:52
8,13151,3418,0.2599041897954528,0.041593795148657894,0.21831039464679491,2017-04-02 06:35:23,2017-04-16 11:44:45
9,13700,3619,0.26416058394160585,0.037664233576642336,0.22649635036496352,2017-04-16 11:45:52,2017-04-30 16:58:21
