bin,n,n_errors,error_rate,fp_rate,fn_rate,time_min,time_max
0,11712,3900,0.33299180327868855,0.04115437158469945,0.29183743169398907,2016-12-09 12:49:59,2016-12-23 18:02:45
1,11350,3670,0.3233480176211454,0.04229074889867841,0.28105726872246695,2016-12-23 18:04:49,2017-01-06 22:58:19
2,12029,3927,0.3264610524565633,0.041399950120542026,0.2850611023360213,2017-01-06 23:18:19,2017-01-21 04:22:10
3,12753,4053,0.3178075746883086,0.04014741629420528,0.27766015839410335,2017-01-21 04:29:00,2017-02-04 09:39:50
4,12835,3970,0.3093104791585508,0.042228282041293336,0.2670821971172575,2017-02-04 09:42:39,2017-02-18 14:52:35
5,13131,3966,0.30203335618003196,0.03899169903282309,0.2630416571472089,2017-02-18 14:55:51,2017-03-04 20:05:26
6,12869,4025,0.31276711477193253,0.03558940088584971,0.2771777138860828,2017-03-04 20:11:23,2017-03-19 01:16:28
7,13128,4162,0.31703229737964655,0.04341864716636198,0.2736136502132846,2017-03-19 01:20:31,2017-04-02 06:31:52
8,13151,4064,0.3090259295871036,0.046612424910653184,0.26241350467645047,2017-04-02 06:35:23,2017-04-16 11:44:45
9,13700,4093,0.29875912408759125,0.04788321167883212,0.2508759124087591,2017-04-16 11:45:52,2017-04-30 16:58:21
