bin,n,n_errors,error_rate,fp_rate,fn_rate,time_min,time_max
0,11712,1798,0.15351775956284153,0.029883879781420764,0.12363387978142076,2016-12-09 12:49:59,2016-12-23 18:02:45
1,11350,1838,0.16193832599118943,0.031629955947136565,0.13030837004405285,2016-12-23 18:04:49,2017-01-06 22:58:19
2,12029,1956,0.1626070330035747,0.031922853104996256,0.13068417989857845,2017-01-06 23:18:19,2017-01-21 04:22:10
3,12753,1951,0.15298361169920802,0.02869912961656081,0.12428448208264722,2017-01-21 04:29:00,2017-02-04 09:39:50
4,12835,2001,0.15590183093104792,0.028204129333852745,0.12769770159719518,2017-02-04 09:42:39,2017-02-18 14:52:35
5,13131,1876,0.14286802223745335,0.027720661031147665,0.11514736120630568,2017-02-18 14:55:51,2017-03-04 20:05:26
6,12869,1825,0.14181366073509985,0.026264667029295207,0.11554899370580465,2017-03-04 20:11:23,2017-03-19 01:16:28
7,13128,1997,0.1521176112126752,0.030088360755636808,0.12202925045703839,2017-03-19 01:20:31,2017-04-02 06:31:52
8,13151,2044,0.15542544293209642,0.03239297391833321,0.12303246901376322,2017-04-02 06:35:23,2017-04-16 11:44:45
9,13700,2046,0.14934306569343064,0.03167883211678832,0.11766423357664234,2017-04-16 11:45:52,2017-04-30 16:58:21
