bin,n,n_errors,error_rate,fp_rate,fn_rate,time_min,time_max
0,11712,1521,0.12986680327868852,0.03756830601092896,0.09229849726775956,2016-12-09 12:49:59,2016-12-23 18:02:45
1,11350,1583,0.13947136563876653,0.04140969162995595,0.09806167400881058,2016-12-23 18:04:49,2017-01-06 22:58:19
2,12029,1692,0.14066007149388976,0.039820433951284394,0.10083963754260537,2017-01-06 23:18:19,2017-01-21 04:22:10
3,12753,1736,0.1361248333725398,0.036305183094173916,0.09981965027836587,2017-01-21 04:29:00,2017-02-04 09:39:50
4,12835,1726,0.1344760420724581,0.0362290611608882,0.09824698091156993,2017-02-04 09:42:39,2017-02-18 14:52:35
5,13131,1637,0.12466681897799102,0.033280024369811895,0.09138679460817911,2017-02-18 14:55:51,2017-03-04 20:05:26
6,12869,1655,0.12860362110498097,0.032014919574170485,0.09658870153081048,2017-03-04 20:11:23,2017-03-19 01:16:28
7,13128,1799,0.13703534430225472,0.03732480195003047,0.09971054235222425,2017-03-19 01:20:31,2017-04-02 06:31:52
8,13151,1788,0.13595924264314502,0.03855220135350924,0.09740704128963577,2017-04-02 06:35:23,2017-04-16 11:44:45
9,13700,1806,0.13182481751824818,0.03759124087591241,0.09423357664233577,2017-04-16 11:45:52,2017-04-30 16:58:21
