bin,n,n_errors,error_rate,fp_rate,fn_rate,time_min,time_max
0,11712,2479,0.21166325136612021,0.04465505464480874,0.16700819672131148,2016-12-09 12:49:59,2016-12-23 18:02:45
1,11350,2261,0.1992070484581498,0.04572687224669603,0.15348017621145374,2016-12-23 18:04:49,2017-01-06 22:58:19
2,12029,2516,0.20916119378169423,0.046221631058275835,0.16293956272341842,2017-01-06 23:18:19,2017-01-21 04:22:10
3,12753,2573,0.20175644946287147,0.043048694424841216,0.15870775503803028,2017-01-21 04:29:00,2017-02-04 09:39:50
4,12835,2615,0.20373977405531749,0.0452668484612388,0.1584729255940787,2017-02-04 09:42:39,2017-02-18 14:52:35
5,13131,2492,0.18977991013631865,0.0402863452897723,0.14949356484654633,2017-02-18 14:55:51,2017-03-04 20:05:26
6,12869,2487,0.19325510917709224,0.038464527158287354,0.15479058201880488,2017-03-04 20:11:23,2017-03-19 01:16:28
7,13128,2567,0.19553625837903718,0.04357099329677026,0.1519652650822669,2017-03-19 01:20:31,2017-04-02 06:31:52
8,13151,2700,0.20530758117253442,0.04608014599650217,0.15922743517603224,2017-04-02 06:35:23,2017-04-16 11:44:45
9,13700,2721,0.1986131386861314,0.04416058394160584,0.15445255474452554,2017-04-16 11:45:52,2017-04-30 16:58:21
