bin,n,n_errors,error_rate,fp_rate,fn_rate,time_min,time_max
0,11712,2420,0.20662568306010928,0.02032103825136612,0.18630464480874318,2016-12-09 12:49:59,2016-12-23 18:02:45
1,11350,2394,0.2109251101321586,0.023876651982378854,0.18704845814977974,2016-12-23 18:04:49,2017-01-06 22:58:19
2,12029,2583,0.2147310665890764,0.023526477678942555,0.19120458891013384,2017-01-06 23:18:19,2017-01-21 04:22:10
3,12753,2757,0.2161844271936015,0.022504508743040854,0.19367991845056065,2017-01-21 04:29:00,2017-02-04 09:39:50
4,12835,2779,0.21651733541098558,0.020179197506817296,0.1963381379041683,2017-02-04 09:42:39,2017-02-18 14:52:35
5,13131,2615,0.199147056583657,0.01934353819206458,0.17980351839159242,2017-02-18 14:55:51,2017-03-04 20:05:26
6,12869,2621,0.20366772865024477,0.01810552490481001,0.18556220374543478,2017-03-04 20:11:23,2017-03-19 01:16:28
7,13128,2787,0.21229433272394882,0.022318708104814136,0.18997562461913467,2017-03-19 01:20:31,2017-04-02 06:31:52
8,13151,2854,0.21701771728385674,0.02334423237776595,0.1936734849060908,2017-04-02 06:35:23,2017-04-16 11:44:45
9,13700,2906,0.21211678832116787,0.02145985401459854,0.19065693430656935,2017-04-16 11:45:52,2017-04-30 16:58:21
