bin,n,n_errors,error_rate,fp_rate,fn_rate,time_min,time_max
0,11712,1208,0.10314207650273224,0.054986338797814206,0.04815573770491803,2016-12-09 12:49:59,2016-12-23 18:02:45
1,11350,1213,0.10687224669603525,0.057709251101321586,0.049162995594713654,2016-12-23 18:04:49,2017-01-06 22:58:19
2,12029,1301,0.10815529137916702,0.057195111813118295,0.050960179566048716,2017-01-06 23:18:19,2017-01-21 04:22:10
3,12753,1287,0.10091743119266056,0.05167411589429938,0.04924331529836117,2017-01-21 04:29:00,2017-02-04 09:39:50
4,12835,1298,0.10112972341254382,0.05188936501753019,0.04924035839501364,2017-02-04 09:42:39,2017-02-18 14:52:35
5,13131,1250,0.09519457771685325,0.04881577945320235,0.046378798263650906,2017-02-18 14:55:51,2017-03-04 20:05:26
6,12869,1150,0.08936203279198073,0.04538037143523195,0.043981661356748775,2017-03-04 20:11:23,2017-03-19 01:16:28
7,13128,1250,0.09521633150517977,0.05271176112126752,0.04250457038391225,2017-03-19 01:20:31,2017-04-02 06:31:52
8,13151,1299,0.09877575849745267,0.05520492738194814,0.04357083111550453,2017-04-02 06:35:23,2017-04-16 11:44:45
9,13700,1380,0.10072992700729927,0.05525547445255474,0.04547445255474453,2017-04-16 11:45:52,2017-04-30 16:58:21
