bin,n,n_errors,error_rate,fp_rate,fn_rate,time_min,time_max
0,11712,2050,0.1750341530054645,0.0233948087431694,0.15163934426229508,2016-12-09 12:49:59,2016-12-23 18:02:45
1,11350,2091,0.18422907488986784,0.026519823788546254,0.15770925110132158,2016-12-23 18:04:49,2017-01-06 22:58:19
2,12029,2225,0.18496965666306425,0.02710117216726245,0.15786848449580182,2017-01-06 23:18:19,2017-01-21 04:22:10
3,12753,2244,0.1759585979769466,0.022426095820591234,0.15353250215635536,2017-01-21 04:29:00,2017-02-04 09:39:50
4,12835,2290,0.17841838722243863,0.02197117257499026,0.15644721464744837,2017-02-04 09:42:39,2017-02-18 14:52:35
5,13131,2166,0.1649531642677633,0.022770542989871297,0.14218262127789202,2017-02-18 14:55:51,2017-03-04 20:05:26
6,12869,2094,0.16271660579687622,0.020281296138006062,0.14243530965887016,2017-03-04 20:11:23,2017-03-19 01:16:28
7,13128,2272,0.17306520414381474,0.022775746496039,0.15028945764777574,2017-03-19 01:20:31,2017-04-02 06:31:52
8,13151,2331,0.17724887841228804,0.026233746483157173,0.15101513192913085,2017-04-02 06:35:23,2017-04-16 11:44:45
9,13700,2294,0.16744525547445255,0.025255474452554744,0.1421897810218978,2017-04-16 11:45:52,2017-04-30 16:58:21
