bin,n,n_errors,error_rate,fp_rate,fn_rate,time_min,time_max
0,11712,9058,0.7733948087431693,0.007769808743169399,0.765625,2016-12-09 12:49:59,2016-12-23 18:02:45
1,11350,8711,0.767488986784141,0.009779735682819384,0.7577092511013216,2016-12-23 18:04:49,2017-01-06 22:58:19
2,12029,9470,0.7872641117299859,0.00997589159531133,0.7772882201346746,2017-01-06 23:18:19,2017-01-21 04:22:10
3,12753,10001,0.7842076374186466,0.0099584411511017,0.7742491962675448,2017-01-21 04:29:00,2017-02-04 09:39:50
4,12835,9750,0.7596416049863655,0.00942734709777951,0.7502142578885859,2017-02-04 09:42:39,2017-02-18 14:52:35
5,13131,9599,0.7310182012032594,0.006701698271266468,0.724316502931993,2017-02-18 14:55:51,2017-03-04 20:05:26
6,12869,9647,0.7496308959515113,0.007304374854301033,0.7423265210972103,2017-03-04 20:11:23,2017-03-19 01:16:28
7,13128,10066,0.7667580743449116,0.01058805606337599,0.7561700182815356,2017-03-19 01:20:31,2017-04-02 06:31:52
8,13151,10129,0.7702075887765188,0.009733100144475705,0.7604744886320431,2017-04-02 06:35:23,2017-04-16 11:44:45
9,13700,10486,0.7654014598540146,0.009854014598540146,0.7555474452554745,2017-04-16 11:45:52,2017-04-30 16:58:21
