bin,n,n_errors,error_rate,fp_rate,fn_rate,time_min,time_max
0,11712,3019,0.2577698087431694,0.016137295081967214,0.2416325136612022,2016-12-09 12:49:59,2016-12-23 18:02:45
1,11350,3044,0.26819383259911894,0.01647577092511013,0.2517180616740088,2016-12-23 18:04:49,2017-01-06 22:58:19
2,12029,3052,0.2537201762407515,0.0188710616011306,0.2348491146396209,2017-01-06 23:18:19,2017-01-21 04:22:10
3,12753,3204,0.2512350035285815,0.014427977730730025,0.23680702579785148,2017-01-21 04:29:00,2017-02-04 09:39:50
4,12835,3246,0.2529022204908453,0.015270744059213089,0.23763147643163227,2017-02-04 09:42:39,2017-02-18 14:52:35
5,13131,3495,0.2661640392963217,0.013860330515573832,0.25230370878074787,2017-02-18 14:55:51,2017-03-04 20:05:26
6,12869,3644,0.28316108477737195,0.012355272359934727,0.27080581241743723,2017-03-04 20:11:23,2017-03-19 01:16:28
7,13128,3501,0.2666819012797075,0.016453382084095063,0.25022851919561245,2017-03-19 01:20:31,2017-04-02 06:31:52
8,13151,3389,0.25769903429397006,0.015816287734773022,0.24188274655919703,2017-04-02 06:35:23,2017-04-16 11:44:45
9,13700,3400,0.24817518248175183,0.015255474452554745,0.2329197080291971,2017-04-16 11:45:52,2017-04-30 16:58:21
