bin,n,n_errors,error_rate,fp_rate,fn_rate,time_min,time_max
0,11712,2029,0.17324112021857924,0.022455601092896176,0.15078551912568305,2016-12-09 12:49:59,2016-12-23 18:02:45
1,11350,1927,0.16977973568281937,0.02211453744493392,0.14766519823788546,2016-12-23 18:04:49,2017-01-06 22:58:19
2,12029,1981,0.16468534375259788,0.025022861418239256,0.13966248233435863,2017-01-06 23:18:19,2017-01-21 04:22:10
3,12753,2035,0.1595702971849761,0.02085783737159884,0.13871245981337724,2017-01-21 04:29:00,2017-02-04 09:39:50
4,12835,1985,0.1546552395792754,0.021659524737047138,0.13299571484222827,2017-02-04 09:42:39,2017-02-18 14:52:35
5,13131,1873,0.14263955525093291,0.020028939151625923,0.12261061609930698,2017-02-18 14:55:51,2017-03-04 20:05:26
6,12869,1853,0.14398943196829592,0.018183231020281295,0.12580620094801462,2017-03-04 20:11:23,2017-03-19 01:16:28
7,13128,2137,0.16278184034125534,0.02216636197440585,0.14061547836684948,2017-03-19 01:20:31,2017-04-02 06:31:52
8,13151,2103,0.1599117937799407,0.02334423237776595,0.13656756140217474,2017-04-02 06:35:23,2017-04-16 11:44:45
9,13700,1990,0.14525547445255474,0.022335766423357665,0.12291970802919708,2017-04-16 11:45:52,2017-04-30 16:58:21
