bin,n,n_errors,error_rate,fp_rate,fn_rate,time_min,time_max
0,11712,3950,0.33726092896174864,0.048582650273224046,0.2886782786885246,2016-12-09 12:49:59,2016-12-23 18:02:45
1,11350,3793,0.33418502202643174,0.0494273127753304,0.28475770925110133,2016-12-23 18:04:49,2017-01-06 22:58:19
2,12029,4134,0.3436694654584754,0.046221631058275835,0.2974478344001995,2017-01-06 23:18:19,2017-01-21 04:22:10
3,12753,4278,0.33545048223947305,0.043754410726887794,0.29169607151258525,2017-01-21 04:29:00,2017-02-04 09:39:50
4,12835,4143,0.322789248149591,0.04643552785352552,0.2763537202960654,2017-02-04 09:42:39,2017-02-18 14:52:35
5,13131,4177,0.31810220089863683,0.04340872743888508,0.27469347345975176,2017-02-18 14:55:51,2017-03-04 20:05:26
6,12869,4035,0.3135441759266454,0.04126194731525371,0.27228222861139173,2017-03-04 20:11:23,2017-03-19 01:16:28
7,13128,4353,0.33158135283363804,0.04654174283973187,0.28503960999390615,2017-03-19 01:20:31,2017-04-02 06:31:52
8,13151,4423,0.33632423389856286,0.044559349098927836,0.291764884799635,2017-04-02 06:35:23,2017-04-16 11:44:45
9,13700,4451,0.3248905109489051,0.04751824817518248,0.2773722627737226,2017-04-16 11:45:52,2017-04-30 16:58:21
