bin,n,n_errors,error_rate,fp_rate,fn_rate,time_min,time_max
0,11712,2579,0.22020150273224043,0.016649590163934427,0.20355191256830601,2016-12-09 12:49:59,2016-12-23 18:02:45
1,11350,2544,0.22414096916299558,0.01647577092511013,0.20766519823788546,2016-12-23 18:04:49,2017-01-06 22:58:19
2,12029,2612,0.2171419070579433,0.0188710616011306,0.1982708454568127,2017-01-06 23:18:19,2017-01-21 04:22:10
3,12753,2744,0.21516505920175644,0.015525758645024701,0.19963930055673174,2017-01-21 04:29:00,2017-02-04 09:39:50
4,12835,2629,0.20483054148811844,0.01386832878846903,0.1909622126996494,2017-02-04 09:42:39,2017-02-18 14:52:35
5,13131,2512,0.1913030233797883,0.014469575812961693,0.1768334475668266,2017-02-18 14:55:51,2017-03-04 20:05:26
6,12869,2507,0.194809231486518,0.01289921516823374,0.18191001631828424,2017-03-04 20:11:23,2017-03-19 01:16:28
7,13128,2803,0.2135131017672151,0.016910420475319928,0.19660268129189518,2017-03-19 01:20:31,2017-04-02 06:31:52
8,13151,2760,0.20986997186525738,0.018097483081134513,0.19177248878412287,2017-04-02 06:35:23,2017-04-16 11:44:45
9,13700,2673,0.1951094890510949,0.017080291970802918,0.17802919708029197,2017-04-16 11:45:52,2017-04-30 16:58:21
