bin,n,n_errors,error_rate,fp_rate,fn_rate,time_min,time_max
0,11712,4997,0.4266564207650273,0.02501707650273224,0.4016393442622951,2016-12-09 12:49:59,2016-12-23 18:02:45
1,11350,4711,0.4150660792951542,0.025110132158590308,0.3899559471365639,2016-12-23 18:04:49,2017-01-06 22:58:19
2,12029,5058,0.4204838307423726,0.02493972898827833,0.39554410175409427,2017-01-06 23:18:19,2017-01-21 04:22:10
3,12753,5392,0.4228024778483494,0.02305339920018819,0.3997490786481612,2017-01-21 04:29:00,2017-02-04 09:39:50
4,12835,5539,0.43155434359174133,0.023529411764705882,0.4080249318270355,2017-02-04 09:42:39,2017-02-18 14:52:35
5,13131,5668,0.4316502931992994,0.022694387327697813,0.4089559058716016,2017-02-18 14:55:51,2017-03-04 20:05:26
6,12869,5683,0.4416038542233274,0.021757712331960527,0.4198461418913669,2017-03-04 20:11:23,2017-03-19 01:16:28
7,13128,5751,0.4380712979890311,0.024603900060938454,0.4134673979280926,2017-03-19 01:20:31,2017-04-02 06:31:52
8,13151,5875,0.4467340886624591,0.023268192532887234,0.4234658961295719,2017-04-02 06:35:23,2017-04-16 11:44:45
9,13700,6152,0.4490510948905109,0.02291970802919708,0.42613138686131385,2017-04-16 11:45:52,2017-04-30 16:58:21
