bin,n,n_errors,error_rate,fp_rate,fn_rate,time_min,time_max
0,11712,1823,0.15565232240437157,0.02262636612021858,0.133025956284153,2016-12-09 12:49:59,2016-12-23 18:02:45
1,11350,1794,0.15806167400881058,0.024405286343612335,0.13365638766519825,2016-12-23 18:04:49,2017-01-06 22:58:19
2,12029,1990,0.16543353562224625,0.026851774877379667,0.13858176074486658,2017-01-06 23:18:19,2017-01-21 04:22:10
3,12753,1955,0.1532972633890065,0.02407276719203325,0.12922449619697327,2017-01-21 04:29:00,2017-02-04 09:39:50
4,12835,2031,0.15823918971562134,0.02321776392676276,0.1350214257888586,2017-02-04 09:42:39,2017-02-18 14:52:35
5,13131,1897,0.14446729114309648,0.02200898636813647,0.12245830477496002,2017-02-18 14:55:51,2017-03-04 20:05:26
6,12869,1821,0.1415028362732147,0.01965964721423576,0.12184318905897894,2017-03-04 20:11:23,2017-03-19 01:16:28
7,13128,1997,0.1521176112126752,0.025289457647775748,0.12682815356489946,2017-03-19 01:20:31,2017-04-02 06:31:52
8,13151,2059,0.15656604060527715,0.025549387879248726,0.13101665272602844,2017-04-02 06:35:23,2017-04-16 11:44:45
9,13700,1983,0.14474452554744527,0.024452554744525547,0.12029197080291971,2017-04-16 11:45:52,2017-04-30 16:58:21
