bin,n,n_errors,error_rate,fp_rate,fn_rate,time_min,time_max
0,11712,1995,0.17033811475409835,0.030225409836065573,0.1401127049180328,2016-12-09 12:49:59,2016-12-23 18:02:45
1,11350,2005,0.17665198237885463,0.029691629955947138,0.14696035242290748,2016-12-23 18:04:49,2017-01-06 22:58:19
2,12029,2071,0.1721672624490814,0.030260204505777703,0.1419070579433037,2017-01-06 23:18:19,2017-01-21 04:22:10
3,12753,2216,0.17376303614835725,0.027052458245118795,0.14671057790323846,2017-01-21 04:29:00,2017-02-04 09:39:50
4,12835,2180,0.16984807167900273,0.025788858589793535,0.1440592130892092,2017-02-04 09:42:39,2017-02-18 14:52:35
5,13131,2413,0.1837636128246135,0.027187571395933287,0.15657604142868023,2017-02-18 14:55:51,2017-03-04 20:05:26
6,12869,2563,0.1991607739529101,0.023078716294972414,0.1760820576579377,2017-03-04 20:11:23,2017-03-19 01:16:28
7,13128,2263,0.17237964655697746,0.028184034125533212,0.14419561243144424,2017-03-19 01:20:31,2017-04-02 06:31:52
8,13151,2198,0.16713557904341875,0.030644057486122728,0.13649152155729602,2017-04-02 06:35:23,2017-04-16 11:44:45
9,13700,2179,0.15905109489051095,0.029635036496350364,0.1294160583941606,2017-04-16 11:45:52,2017-04-30 16:58:21
